ID,MC,FSI,USE,STr,SI,SR,ST,LAD,SB,SP
5,8.89,6.44,8.52,2.78,9.26,4.07,1,4.44,5.56,4
8,9.44,9.56,9.26,8.33,8.52,8.52,1,7.78,10,5
9,9.44,9.11,9.26,9.44,9.26,7.78,1,8.33,10,5
10,9.44,10,10,8.33,10,8.52,1,8.33,10,5
11,7.22,4.22,7.78,2.22,7.78,4.07,1,4.44,5,5
12,8.33,7.78,7.78,5,10,6.3,1,4.44,9.44,4
13,5,3.78,7.78,2.22,7.78,2.59,1,3.89,5,4
14,7.22,3.33,7.04,3.89,9.26,7.04,1,3.33,5,4
15,9.44,6.44,8.52,6.67,10,7.78,1,7.78,7.78,5
16,10,9.56,9.26,9.44,10,9.26,1,8.33,10,5
17,5,6.44,7.78,1.67,8.52,3.33,1,2.78,5,4
20,9.44,9.11,10,6.11,9.26,7.04,1,7.22,10,5
36,8.89,6.44,7.78,8.33,10,5.56,1,6.11,7.22,5
39,7.78,3.78,7.04,3.33,7.78,3.33,0,5,2.78,4
40,8.33,6,7.78,3.33,8.52,2.59,0,5,2.78,4
42,8.89,6.44,9.26,6.11,9.26,7.04,1,6.11,7.78,5
46,9.44,9.11,9.26,7.78,9.26,6.3,1,6.11,10,5
47,8.89,8.67,9.26,6.11,9.26,8.52,1,6.67,10,5
49,8.89,9.11,9.26,8.33,10,7.78,1,7.22,10,5
50,10,4.67,8.52,5,7.78,7.78,1,5.56,5.56,4
51,8.89,4.67,8.52,3.89,8.52,7.78,1,6.11,5.56,4
53,10,9.56,10,8.89,10,8.52,1,8.33,10,5
56,8.33,6.89,8.52,6.67,10,7.04,1,6.67,5,5
59,7.78,8.67,8.52,5,4.07,2.59,0,5,5,4
65,7.78,5.56,7.78,3.33,8.52,4.07,1,3.89,7.22,4
67,9.44,7.78,10,6.67,10,9.26,0,7.22,5.56,4
73,8.89,9.11,9.26,5,9.26,4.07,1,4.44,7.78,4
74,9.44,9.11,8.52,4.44,9.26,7.78,1,8.33,7.22,4
79,8.89,9.56,8.52,3.89,8.52,4.81,1,7.22,7.22,4
84,9.44,9.11,9.26,6.11,10,7.78,1,7.22,10,5
85,8.89,9.56,10,8.89,10,7.78,1,7.78,10,5
86,9.44,9.56,9.26,6.67,8.52,7.78,1,7.22,10,5
89,9.44,9.56,10,8.33,10,7.78,1,7.22,10,5
91,9.44,9.11,9.26,4.44,9.26,7.04,1,7.22,7.78,5
95,9.44,9.56,10,6.11,10,7.78,1,7.22,10,5
96,9.44,9.56,10,6.67,10,7.78,1,7.78,10,5
97,8.89,8.67,9.26,5.56,10,4.81,1,6.11,10,5
98,10,8.67,9.26,8.89,10,3.33,1,7.22,10,5
107,8.89,9.11,10,6.11,10,8.52,1,6.11,10,5
120,8.89,6.44,8.52,2.78,7.78,6.3,1,5.56,5.56,4
